Title,Price,Location,Url,Image Url,Scraped At,Source,Search Name,Site Name
2001 BMW z3 6-Cyl Roadster 2D,4900,"Salinas, CA",https://www.facebook.com/marketplace/item/742889328733449/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/540450861_2985585154980194_7993348451302542293_n.jpg?stp=c155.0.870.870a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=LsE9O5G8PzoQ7kNvwGLV79v&_nc_oc=AdkCl4d4bGsuOtjzWP7NW-2VPk_HppAMPI2CBpTkMjh3iPSp1uIleFlGQ8k0Q7L9se0&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfURWlggh58MjsZ6JyVJml4yJL57-0KE4e-PJQKoUXPCng&oe=68B821F2,2025-08-30T02:09:28.702Z,facebook-marketplace,BMW Z3,facebook_marketplace
2000 BMW z3 2.3 Roadster 2D,5000,"Mountain View, CA",https://www.facebook.com/marketplace/item/760642139913219/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/537386154_122275570724007771_3675116913249811500_n.jpg?stp=c448.0.1153.1153a_dst-jpg_s261x260_tt6&_nc_cat=103&ccb=1-7&_nc_sid=454cf4&_nc_ohc=SIl_ffxDhxcQ7kNvwF-ojig&_nc_oc=Adn6MzqpPwJhuqRRFSnL_tHMwRsfzSU2EMB2_vje5msaCI1yv30fYl5PKKigBlmujsw&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfWYaqEozFxr35yIaaJYxFF7ixZ9OtOiAUxShm9TGsU13Q&oe=68B81BB0,2025-08-30T02:09:29.372Z,facebook-marketplace,BMW Z3,facebook_marketplace
2001 BMW z3 2.5i,7980,"Saratoga, CA",https://www.facebook.com/marketplace/item/4284974395067826/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t45.5328-4/536040583_750060594458449_3624714954326849700_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=Y0-_W2B-sZgQ7kNvwG45CrC&_nc_oc=Adl42-OsYUobk6HdG2koyftouTKeQt_5zqEIOjKfmDwWggh4bs2WvU9ojevm9OFfZEM&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfWIVZHoqmPh_FcPXxHXslIk56AVgmgaGVxkgxInuhCb2g&oe=68B84AF7,2025-08-30T02:09:29.624Z,facebook-marketplace,BMW Z3,facebook_marketplace
1998 BMW z3 2.8 Roadster 2D,6000,"Santa Cruz, CA",https://www.facebook.com/marketplace/item/738845148560734/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/518714571_9972721606183941_2589519304553943223_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=107&ccb=1-7&_nc_sid=946e27&_nc_ohc=TB7wVT5c6OQQ7kNvwEe0Xa-&_nc_oc=AdlRBFecoLQS01DLvTUzJOIQPz1thdv62p_MnuUyaSv4C0rJqbtwnY6RApaab4xoVsI&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfWJqydLLqyO-rUc11QMg4Pls-6n-MDQbUNaPVl5r3d9RQ&oe=68B8194F,2025-08-30T02:09:30.217Z,facebook-marketplace,BMW Z3,facebook_marketplace
1999 BMW z3 2.3,3500,"San Jose, CA",https://www.facebook.com/marketplace/item/1145947790714867/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t45.5328-4/530789301_4263038610687126_7157689531588896772_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=247b10&_nc_ohc=UqZYs6Cc_40Q7kNvwHKTNOY&_nc_oc=AdllYZJwPJCjQ9UBPLVGgtjDqa3p599eZpWwciuFAa20k0q1feBiL2EA8rCTrSO1Zsc&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfWFnRHG66cO7OFyxxOolsIfVh60rgQ9oF7k4FQZT01zeg&oe=68B820B9,2025-08-30T02:09:30.775Z,facebook-marketplace,BMW Z3,facebook_marketplace
1997 BMW z3 6-Cyl Roadster 2D,1234,"Benicia, CA",https://www.facebook.com/marketplace/item/486441137522637/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/480737164_633676952482902_7389137233681076935_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=avEnH3tXAxsQ7kNvwFfQFza&_nc_oc=AdkyE4WmSe6fs2Y2nQst99a-hq_rF08t2nGDZpQPSd5R6urGYJuZ_ADfWiFV8_kWdeM&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfXDJqNa9AXhIoS62EB5YWx-kSC6Pqnw8EyZoVZvVOpPPQ&oe=68B83759,2025-08-30T02:09:31.183Z,facebook-marketplace,BMW Z3,facebook_marketplace
2000 BMW z3 6-Cyl Roadster 2D,6000,"Vallejo, CA",https://www.facebook.com/marketplace/item/24455412114151059/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t39.30808-6/539029073_696452430119272_5421314429446570168_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=102&ccb=1-7&_nc_sid=454cf4&_nc_ohc=wVu5zevQHkMQ7kNvwFUCd70&_nc_oc=AdnJY-dghFYv8bsnym_t9X4aaSbkWOhlmJE8RJC9twy5t-1w7ETPllHyHHfxRP-fFPU&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfVJLTy3Jo74T2wwD_sOqmFKOa_faOo5H7IMIH67Xjm2KQ&oe=68B83F3E,2025-08-30T02:09:31.599Z,facebook-marketplace,BMW Z3,facebook_marketplace
2000 BMW z3 6-Cyl Roadster 2D,3500,"Berkeley, CA",https://www.facebook.com/marketplace/item/2272274779812909/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/514329136_10239252068739420_3721095510379765492_n.jpg?stp=c0.169.1537.1537a_dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=946e27&_nc_ohc=v-HThqbz14YQ7kNvwGVhFT9&_nc_oc=AdkGjOBsnZj4VFM1v0WhoZtcBRA2ONFOP3UifA-jGIetMZWI2cqsHbAWl9o1-OqA6nk&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfU7Q8Am_WcZKSikSLXz98Vx2E2lHKKXEh5Pfb9_AXBCmg&oe=68B84737,2025-08-30T02:09:31.819Z,facebook-marketplace,BMW Z3,facebook_marketplace
1997 BMW z3 4-Cyl Roadster 2D,3800,"Newark, CA",https://www.facebook.com/marketplace/item/794610399559229/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc6-1.xx.fbcdn.net/v/t39.30808-6/533069495_10163839357601869_2625156504215609715_n.jpg?stp=dst-jpg_s261x260_tt6&_nc_cat=104&ccb=1-7&_nc_sid=454cf4&_nc_ohc=I364NKLPBjEQ7kNvwEqsy5j&_nc_oc=Adn3XF1ywYcKCJ17UqzLchnI5-OGxlFFCkVX450k31VtSgF9p6VwYnS15sjXd0cm0uA&_nc_zt=23&_nc_ht=scontent-sjc6-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfURxnSMWhDEurtOzQB05wh5pVcOyEHYAifuz1YFWGIBXQ&oe=68B82F2E,2025-08-30T02:09:32.267Z,facebook-marketplace,BMW Z3,facebook_marketplace
2002 BMW z3 convertible,5996,"Palo Alto, CA",https://www.facebook.com/marketplace/item/1051717816331103/?ref=search&referral_code=null&referral_story_type=post&tracking=browse_serp%3A76cce69e-22e1-4b93-b226-efbc3195f2c1&__tn__=!%3AD,https://scontent-sjc3-1.xx.fbcdn.net/v/t45.5328-4/489370588_541264095299113_768459095396893904_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=247b10&_nc_ohc=pqNWA_VpFQ4Q7kNvwGFHMPP&_nc_oc=AdnFfuZIh8uhOrKPskUOJQlxnOthWiTsxFWiX7tpeAbUMeCS5iBiRgGwR6C22JuUu5A&_nc_zt=23&_nc_ht=scontent-sjc3-1.xx&_nc_gid=YREucDNdxW8i5HlE7r2zCg&oh=00_AfXLYz77J7PlsT6KCy-xrdk7qKJrlNh7nyv1gfIt3wPIPg&oe=68B83E28,2025-08-30T02:09:32.655Z,facebook-marketplace,BMW Z3,facebook_marketplace
